id,name_vi,region,category,meal_types,prep_time_min,cook_time_min,difficulty,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,sugar_g,price_est_vnd_min,price_est_vnd_max,diet_tags,allergens,taste_profile,spice_level,servings,image_url,description,ingredients,utensils,steps,suitable_for,avoid_for
banh-canh,Bánh canh,Nam,main,dinner,43,70,medium,420,18,55,10,3,900,4,30000,60000,balanced,"Tôm, Cua, Ghẹ, Nước dùng cá","Ngọt, Chua, Cay, Thơm, Đậm đà",1,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9kZCL_b-StEtBUCsH8DixwVUFCtkwC2gvOg&s,"Được làm từ bột gạo, bột mì, hoặc bột sắn hoặc bột gạo pha bột sắn cán thành tấm và cắt ra thành sợi to và ngắn với nước dùng được nấu từ tôm, cá, giò heo... thêm gia vị tùy theo từng loại","Tôm: 500g, Sườn heo: 800g, Nấm hương: 100g, Hành tím: 2 củ, Chanh: 1 trái, Ớt: 4 trái, Hành tây: 1 củ, Hạt điều màu: 100g, Tỏi: 1 củ, Củ cải trắng: 400g, Hành lá: 15g, Ngò rí: 10g, Tinh bột khoai tây: 1 muỗng canh, Tinh bột bắp: 1 muỗng canh, Đường phèn: 20g, Rượu nấu ăn: 1 ít, Dầu ăn: 65ml","Nồi, Chén, Muỗng, Thớt, Vá, Rây","Hầm sườn non làm nước dùng, Nấu vỏ tôm lấy nước cho vào nồi sườn, Trộn tôm xay với giò sống làm chả tôm, Nấu và nặn sợi bánh canh rồi xả lạnh, Phi hành tỏi với dầu điều đổ vào nồi và nêm gia vị, Nặn chả tôm vào nồi nước dùng, Cho bánh canh và bột năng vào khuấy đến sánh, Múc ra tô rắc hành và thưởng thức",Cân bằng,Keto / Low-carb
banh-a-cua,Bánh đa cua,Bắc,main,dinner,12,70,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Cua đồng, Nước mắm","Chua, Thơm, Đậm đà",1,1,https://i-giadinh.vnecdn.net/2023/02/25/Buoc-12-thanh-pham-12-3879-1677318715.jpg,Bánh đa với nước dùng riêu cua,"Bánh đa đỏ: 400g, Cua đồng xay: 400g, Sườn: 300g, Thịt lợn xay: 150g, Chả cá - mỡ phần - tôm khô: 100g, Rau muống: 50g, Cà chua: 6 quả, Rau sống: 100g, Mộc nhĩ: 20g, Lá lốt: 10g, Hành khô: 10g, Hành lá - mùi tàu: 10g, Chanh: 3 quả","Chảo, Nồi hấp, Nồi, Chén, Tô, Rây","Luộc sơ sườn rồi hầm với hành nướng và gia vị, Lọc cua nấu lên cho gạch nổi rồi trút nước hầm sườn vào, Phi hành xào cà chua cho màu và cho vào nồi nước dùng, Xào gạch cua với mắm rồi để riêng, Chiên tóp mỡ và hành phi rồi thêm cà chua vào nồi nước dùng, Làm chả thịt mộc nhĩ nấm hương và rán chín, Hấp bóc nõn tôm rồi rim đến khi săn dai, Ngâm bánh đa cho nở và chuẩn bị rau hành mùi tàu",Cân bằng,"Thuần chay (Vegan), Ăn chay (Vegetarian), Keto / Low-carb"
bun-bo-hue,Bún bò Huế,Trung,main,breakfast,47,70,medium,420,18,55,10,3,900,4,30000,60000,balanced,"Mắm ruốc (Hải sản), Chả cua","Cay, Đậm đà",1,1,https://i.pinimg.com/736x/04/b6/f9/04b6f958f5f053fbaefccddd1007aa48.jpg,"Bún đặc sản của xứ Huế, trong nước dùng có một ít mắm ruốc, góp phần làm nên hương vị rất riêng","Giò sống: 33g, Thịt heo: 169g, Bún tươi: 97g, Dầu ăn: 34g, Rau thơm: 180g, Ớt: 169g","Đũa, Nồi hấp, Tô, Chén, Vá, Kéo","Nướng hành gừng cho thơm rồi rửa sạch, Hầm xương heo với sả để lấy nước dùng trong, Thêm mắm ruốc Huế, nêm muối đường nước mắm, Trụng bún qua nước sôi, Xếp bắp bò giò heo chả vào tô, chan nước dùng, thêm rau muống bào và hoa chuối",Cân bằng,"Thuần chay (Vegan), Ăn chay (Vegetarian), Keto / Low-carb"
bun-bung,Bún bung,Bắc,main,dinner,10,70,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Nước mắm, Mùng tơi (lưu ý)","Mặn, Chua, Cay, Thơm",1,1,https://i-giadinh.vnecdn.net/2024/07/13/Buoc-7-Thanh-pham-7-3169-1720857533.jpg,Bún nấu với sườn lợn và dọc mùng,"Bún tươi: 400g, Sườn non: 300g, Dọc mùng: 200g, Cà chua: 3 quả, Nghệ tươi: 1 củ, Mẻ hoặc me chua: 30g, Mắm tôm: 10g, Hành khô: 10g, Hành lá: 20g, Rau răm: 10g, Ớt tươi: 5g, Nước mắm: 15ml, Muối: 5g, Dầu ăn: 20ml","Rây, Thớt, Đũa, Tô","Chần sơ sườn rồi hầm nhừ và hớt bọt, Chuẩn bị dọc mùng bóp muối và xào cà chua với hành tím, Trộn thịt băm nấm mèo giò sống rồi vo viên, Cho thịt viên vào nồi sườn nấu chín rồi thêm cà chua dọc mùng và hành lá",Cân bằng,Keto / Low-carb
bun-ca,Bún cá,Bắc,main,lunch,32,70,medium,420,18,55,10,3,900,4,30000,60000,balanced,"Cá chiên, Nước mắm, Đậu hũ","Mặn, Chua, Thơm, Đậm đà",1,1,https://i.ytimg.com/vi/D95V3tP_MGA/maxresdefault.jpg,"Bún và chả cá nướng trộn nước mắm, rau sống","Cá rô phi: 800g, Bún tươi: 500g, Xương heo: 400g, Đậu hũ non: 2 miếng, Hành khô: 10g, Mắm tôm: 1.2 muỗng canh , Nước cốt chanh: 1.2 muỗng, Bột nghệ: 1.2 muỗng cà phê, Rau ăn kèm: 100g","Đũa, Dao, Thớt, Chén, Muỗng, Tô","Chần sơ xương heo và xương cá rồi ninh cùng nước để làm nước dùng, Sơ chế cá rô phi cắt lát và chuẩn bị cà chua hành rau thì là đậu hũ, Ướp cá với chanh mắm tôm bột ngọt và bột nghệ, Chiên đậu hũ vàng giòn và chiên cá phủ bột cho giòn đều, Phi hành xào cà chua với bột nghệ rồi cho vào nồi nước dùng và nêm gia vị",Cân bằng,"Thuần chay (Vegan), Ăn chay (Vegetarian), Keto / Low-carb"
bun-cha,Bún chả,Bắc,main,dinner,32,65,medium,500,20,60,15,3,900,5,35000,65000,balanced,Nước mắm,"Ngọt, Mặn, Chua, Cay, Thơm, Đậm đà",1,1,https://i-giadinh.vnecdn.net/2023/04/16/Buoc-11-Thanh-pham-11-7068-1681636164.jpg,Bún ăn kèm chả viên và chả miếng với nước chấm,"Bún tươi: 1kg, Thịt ba chỉ: 700g, Thịt heo xay nhuyễn: 500g, Cà rốt: 1 củ, Đu đủ xanh: 1/2 trái, Rau sống các loại: 500g, Hành tím băm: 1 muỗng canh, Tỏi băm: 1.5 muỗng canh, Ớt băm: 1 ít, Dầu hào: 2 muỗng canh, Mật ong: 3 muỗng canh, Nước màu: 2 muỗng canh, Nước mắm: 1 chén, Giấm: 1/2 chén","Nồi, Tô, Dao, Thớt, Chén","Ướp thịt ba chỉ và thịt xay rồi vo viên, Sơ chế cà rốt đu đủ và ngâm chua ngọt, Nướng thịt ba chỉ và thịt viên đến vàng đều, Nấu nước mắm pha giấm đường nước cho sôi, Xếp thịt bún rau và chan nước mắm cùng cà rốt đu đủ",Cân bằng,"Thuần chay (Vegan), Ăn chay (Vegetarian), Keto / Low-carb"
bun-mang-vit,Bún măng vịt,Trung,main,dinner,54,70,medium,500,20,60,15,3,900,5,35000,65000,balanced,Nước mắm gừng,"Cay, Thơm, Đậm đà",1,1,https://i.ytimg.com/vi/IQUykuEF3kk/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLC0Z_JzBueYNN7fm_ofhyic9LH4aA,Bún măng dùng với nước hầm xương vịt,"Vịt: 700g, Măng tươi: 250g, Nấm rơm: 500g, Tiết vịt: 100g, Bún tươi: 1kg, Rượu trắng: 100ml, Gừng: 2 nhánh, Hành tím: 4 củ, Tỏi : 1 củ, Hành lá: 2 nhánh, Rau mùi: 10g, Rau răm: 10g, Ớt: 2 trái","Muỗng, Tô, Rây, Kéo","Sơ chế thịt vịt khử mùi rồi chặt miếng, Ướp vịt với gừng tỏi hành và gia vị, Luộc măng rồi cắt miếng, Sơ chế nấm rơm huyết bún và rau ăn kèm, Xào măng với gia vị cho thấm, Xào thịt vịt cho săn, Nấu nước dùng với thịt vịt nấm rơm huyết và măng rồi nêm lại, Giã tỏi ớt gừng pha nước chấm",Cân bằng,"Thuần chay (Vegan), Ăn chay (Vegetarian), Keto / Low-carb"
bun-cha-ca,Bún chả cá,Trung,main,breakfast,24,70,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Chả cá, Nước mắm","Mặn, Thơm",1,1,https://i.ytimg.com/vi/D95V3tP_MGA/maxresdefault.jpg,Bún với chả cá chan nước dùng nóng,"Cá basa: 1 con, Chả hấp: 500g, Chả chiên: 500g, Bí đỏ: 500g, Bắp cải: 200g, Cà chua: 3 quả, Thơm: 1 trái, Rau ăn kèm: 1 ít, Dầu ăn: 1 muỗng canh, Nước mắm: 6 muỗng canh, Bột tỏi: 1/2 muỗng cà phê","Nồi, Dao, Thớt, Rây, Chén, Chảo","Sơ chế bí đỏ bắp cải cà chua thơm, Phi tỏi xào cà chua, Nấu nước lèo với bí đỏ bắp cải thơm và nêm gia vị, Sơ chế cá basa cắt khúc, Kho cá với đường nước mắm tiêu và nước, Cho chả cá vào nồi nước lèo nấu sôi và nêm lại",Cân bằng,"Thuần chay (Vegan), Ăn chay (Vegetarian), Keto / Low-carb"
bun-chao-tom,Bún chạo tôm,Trung,main,lunch,36,30,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Tôm, Lòng trắng trứng (trong chạo)","Ngọt, Mặn, Cay, Thơm",1,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTME6kU10DMpGPG8dl_HA99vuYB5k7G_IwX3g&s,"Tôm xiên vào que mía nướng ăn kèm bún, rau sống","Tôm xay nhuyễn: 250g, Bột năng: 5 muỗng canh, Giò sống: 200g, Tiêu trắng: 1/2 muỗng cà phê, Dầu hào: 1 muỗng canh, Nước mắm: 1 muỗng canh, Lòng trắng trứng gà: 1 cái, Đường: 1/2 muỗng cà phê, Mía lau: 5 thanh, Cà rốt thái nhỏ: 2 muỗng canh, Hành lá thái nhỏ: 1 nhánh nhỏ","Chảo, Nồi hấp, Kéo, Đũa, Rây, Dao","Pha nước sốt với tương ớt đường giấm nước mắm rồi trộn cà rốt củ cải đậu phộng, Quết giò sống với bột năng lòng trắng trứng hành tiêu đường nước mắm và dầu hào, Trộn cà rốt vào hỗn hợp rồi ướp lạnh cho cứng, Quấn chạo tôm quanh thanh mía, Chiên chạo tôm ngập dầu đến vàng đều",Cân bằng,"Thuần chay (Vegan), Ăn chay (Vegetarian), Keto / Low-carb"
bun-au-mam-tom,Bún đậu mắm tôm,Bắc,main,lunch,20,54,medium,500,20,60,15,3,900,5,35000,65000,balanced,"Mắm tôm, Đậu hũ","Mặn, Chua, Cay, Thơm, Đậm đà",1,1,https://i-giadinh.vnecdn.net/2025/05/16/Bun-dau-mam-tom-6-vnexpress-17-9082-8722-1747388531.jpg,Bún ăn với đậu rán và mắm tôm,"Bún lá: 1 ít, Đậu hũ: 1kg, Phèo non: 600g, Gan: 200g, Huyết: 100g, Dạ dày: 300g, Lưỡi heo: 1 cái, Thịt heo: 500g, Thịt heo xay: 300g, Khoai tây: 1 củ, Nấm mèo: 500g, Ớt: 2 trái, Dưa leo: 3 quả, Chanh: 2 quả, Rau ăn kèm: 1 ít, Hành tím: 4 củ, Tỏi: 4 tép, Gừng: 1 củ, Bánh tráng rế: 15 cái, Mắm tôm: 500g, Giấm: 100ml, Dầu ăn: 500ml","Rây, Vá, Kéo, Tô, Nồi, Dao","Sơ chế sạch thịt lưỡi gan phèo non và dạ dày, Luộc gan dạ dày phèo non rồi luộc thịt và lưỡi riêng, Chiên đậu hũ và chuẩn bị rau dưa khoai tây nấm mèo hành tỏi, Trộn nhân thịt cuốn ram rồi chiên giòn, Pha mắm tôm với đường bột ngọt tỏi ớt và chanh đánh bông",Cân bằng,"Thuần chay (Vegan), Ăn chay (Vegetarian), Keto / Low-carb"
